title,url,institution,is_featured,is_draft
Unititled Coding Workshop,https://ucw.maxkohler.com,RCA,true,false
The expanded keyboard,/assets/ig-week-1.pdf,,true,true
Interaktive Grundlagen 5,/assets/teaching/ig-week-5.pdf,HSM,false,false
Interaktive Grundlagen 4,/assets/teaching/ig-week-4.pdf,HSM,false,false
Interaktive Grundlagen 3,/assets/teaching/ig-week-3.pdf,HSM,false,false
Interaktive Grundlagen 2,/assets/teaching/ig-week-2.pdf,HSM,false,false
Interaktive Grundlagen 1,/assets/teaching/ig-week-1.pdf,HSM,false,false
